,fit_intercept
"FRUITY,CITRUS",True
LEMON,True
GRAPEFRUIT,False
ORANGE,True
"FRUITY,OTHER THAN CITRUS",False
PINEAPPLE,True
GRAPE JUICE,False
STRAWBERRY,False
"APPLE, FRUIT",True
PEAR,False
"CANTALOUPE, HONEYDEW MELON",True
PEACH FRUIT,False
BANANA,False
FLORAL,False
ROSE,False
VIOLETS,False
LAVENDER,True
COLOGNE,True
MUSK,True
PERFUMERY,True
FRAGRANT,False
AROMATIC,False
HONEY,True
"CHERRY, BERRY",False
ALMOND,False
NAIL POLISH REMOVER,False
"NUTTY, WALNUT ETC.",False
SPICY,True
CLOVE,True
CINNAMON,False
LAUREL LEAVES,False
TEA LEAVES,False
SEASONING FOR MEAT,True
BLACK PEPPER,True
GREEN PEPPER,True
DILL,True
CARAWAY,True
"OAK WOOD,COGNAC",True
"WOODY, RESINOUS",False
CEDARWOOD,True
MOTHBALLS,False
"MINTY, PEPPERMINT",True
CAMPHOR,True
EUCALYPTUS,True
CHOCOLATE,False
VANILLA,False
SWEET,False
MAPLE SYRUP,True
CARAMEL,False
MALTY,False
RAISINS,False
MOLASSES,True
COCONUT,True
"ANISE, LICORICE",True
ALCOHOLIC,False
"ETHERISH, ANAESTHETIC",True
CLEANING FLUID,True
"GASOLINE, SOLVENT",True
"TURPENTINE, PINE OIL",True
GERANIUM LEAVES,False
CELERY,True
FRESH GREEN VEGETABLES,True
CRUSHED WEEDS,False
CRUSHED GRASS,False
"HERBAL, GREEN,CUTGRASS",False
RAW CUCUMBER,False
HAY,False
GRAINY (AS GRAIN),False
YEASTY,True
BAKERY (FRESH BREAD),True
SOUR MILK,False
"FERMENTED, ROTTEN FRUIT",False
BEERY,False
SOAPY,False
LEATHER,False
CARDBOARD,False
ROPE,False
WET PAPER,False
"WET WOOL,WET DOG",False
DIRTY LINEN,True
STALE,True
"MUSTY, EARTHY, MOLDY",False
RAW POTATO,False
MOUSE,True
MUSHROOM,False
PEANUT BUTTER,False
BEANY,False
"EGGY, FRESH EGGS",True
"BARK,BIRCHBARK",False
CORK,False
"BURNT,SMOKY",False
FRESH TOBACCO SMOKE,False
INCENSE,True
COFFEE,False
STALE TOBACCO SMOKE,True
BURNT PAPER,False
BURNT MILK,True
BURNT RUBBER,False
TAR,True
CREOSOTE,True
"DISINFECTANT, CARBOLIC",True
MEDICINAL,True
CHEMICAL,True
BITTER,False
"SHARP, PUNGENT, ACID",False
"SOUR, VINEGAR",False
SAUERKRAUT,True
AMMONIA,False
URINE,False
CAT URINE,False
FISHY,True
"KIPPERY,SMOKED FISH",False
"SEMINAL, SPERM-LIKE",True
NEW RUBBER,False
SOOTY,False
BURNT CANDLE,True
KEROSENE,True
"OILY, FATTY",True
"BUTTERY, FRESH BUTTER",True
PAINT,True
VARNISH,True
POPCORN,True
FRIED CHICKEN,True
"MEATY ( COOKED,GOOD)",True
SOUPY,True
COOKED VEGETABLES,True
RANCID,False
SWEATY,False
CHEESY,True
HOUSEHOLD GAS,False
SULFIDIC,False
"GARLIC, ONION",False
METALLIC,True
"BLOOD, RAW MEAT",False
ANIMAL,False
SEWER,False
"PUTRID, FOUL, DECAYED",False
"FECAL, LIKE MANURE",False
CADAVEROUS,False
SICKENING,False
"DRY, POWDERY",False
CHALKY,True
LIGHT,False
HEAVY,True
"COOL,COOLING",True
WARM,False
