,criterion,max_features,n_jobs,ccp_alpha,random_state
"FRUITY,CITRUS",0.3,absolute_error,log2,-1,432
LEMON,0.3,absolute_error,log2,-1,432
GRAPEFRUIT,0.3,poisson,log2,-1,432
ORANGE,0.3,absolute_error,log2,-1,432
"FRUITY,OTHER THAN CITRUS",0.15,absolute_error,sqrt,-1,432
PINEAPPLE,0.15,absolute_error,log2,-1,432
GRAPE JUICE,0.3,absolute_error,log2,-1,432
STRAWBERRY,0.3,poisson,log2,-1,432
"APPLE, FRUIT",0,poisson,log2,-1,432
PEAR,0,poisson,sqrt,-1,432
"CANTALOUPE, HONEYDEW MELON",0,poisson,log2,-1,432
PEACH FRUIT,0.3,squared_error,sqrt,-1,432
BANANA,0,poisson,log2,-1,432
FLORAL,0.3,absolute_error,log2,-1,432
ROSE,0.3,absolute_error,log2,-1,432
VIOLETS,0.15,absolute_error,sqrt,-1,432
LAVENDER,0.15,absolute_error,sqrt,-1,432
COLOGNE,0.15,absolute_error,sqrt,-1,432
MUSK,0.3,absolute_error,log2,-1,432
PERFUMERY,0.3,poisson,log2,-1,432
FRAGRANT,0.15,poisson,log2,-1,432
AROMATIC,0.15,poisson,sqrt,-1,432
HONEY,0,poisson,log2,-1,432
"CHERRY, BERRY",0.15,absolute_error,log2,-1,432
ALMOND,0.3,absolute_error,sqrt,-1,432
NAIL POLISH REMOVER,0.15,poisson,log2,-1,432
"NUTTY, WALNUT ETC.",0,absolute_error,log2,-1,432
SPICY,0.3,poisson,log2,-1,432
CLOVE,0.3,absolute_error,log2,-1,432
CINNAMON,0.3,absolute_error,log2,-1,432
LAUREL LEAVES,0,poisson,log2,-1,432
TEA LEAVES,0.15,squared_error,sqrt,-1,432
SEASONING FOR MEAT,0.3,friedman_mse,sqrt,-1,432
BLACK PEPPER,0.3,poisson,log2,-1,432
GREEN PEPPER,0.15,absolute_error,sqrt,-1,432
DILL,0,absolute_error,log2,-1,432
CARAWAY,0.15,squared_error,sqrt,-1,432
"OAK WOOD,COGNAC",0.3,absolute_error,sqrt,-1,432
"WOODY, RESINOUS",0.15,poisson,sqrt,-1,432
CEDARWOOD,0.15,poisson,log2,-1,432
MOTHBALLS,0.3,absolute_error,log2,-1,432
"MINTY, PEPPERMINT",0.3,absolute_error,log2,-1,432
CAMPHOR,0.15,poisson,log2,-1,432
EUCALYPTUS,0.3,absolute_error,sqrt,-1,432
CHOCOLATE,0.3,absolute_error,log2,-1,432
VANILLA,0.3,absolute_error,log2,-1,432
SWEET,0,poisson,log2,-1,432
MAPLE SYRUP,0,poisson,log2,-1,432
CARAMEL,0,friedman_mse,log2,-1,432
MALTY,0.3,absolute_error,log2,-1,432
RAISINS,0.3,absolute_error,sqrt,-1,432
MOLASSES,0,poisson,sqrt,-1,432
COCONUT,0.3,absolute_error,log2,-1,432
"ANISE, LICORICE",0.3,absolute_error,log2,-1,432
ALCOHOLIC,0.3,friedman_mse,log2,-1,432
"ETHERISH, ANAESTHETIC",0.15,poisson,sqrt,-1,432
CLEANING FLUID,0.15,poisson,sqrt,-1,432
"GASOLINE, SOLVENT",0.3,poisson,sqrt,-1,432
"TURPENTINE, PINE OIL",0.15,poisson,log2,-1,432
GERANIUM LEAVES,0.15,poisson,log2,-1,432
CELERY,0.15,absolute_error,sqrt,-1,432
FRESH GREEN VEGETABLES,0,poisson,log2,-1,432
CRUSHED WEEDS,0.15,poisson,log2,-1,432
CRUSHED GRASS,0.3,friedman_mse,log2,-1,432
"HERBAL, GREEN,CUTGRASS",0.15,poisson,log2,-1,432
RAW CUCUMBER,0,absolute_error,log2,-1,432
HAY,0.3,absolute_error,sqrt,-1,432
GRAINY (AS GRAIN),0.15,poisson,sqrt,-1,432
YEASTY,0.3,friedman_mse,log2,-1,432
BAKERY (FRESH BREAD),0.15,absolute_error,log2,-1,432
SOUR MILK,0,poisson,log2,-1,432
"FERMENTED, ROTTEN FRUIT",0,poisson,sqrt,-1,432
BEERY,0,poisson,log2,-1,432
SOAPY,0.15,poisson,log2,-1,432
LEATHER,0.3,friedman_mse,sqrt,-1,432
CARDBOARD,0.15,absolute_error,log2,-1,432
ROPE,0,poisson,sqrt,-1,432
WET PAPER,0.15,absolute_error,sqrt,-1,432
"WET WOOL,WET DOG",0.15,friedman_mse,log2,-1,432
DIRTY LINEN,0.15,absolute_error,sqrt,-1,432
STALE,0,absolute_error,sqrt,-1,432
"MUSTY, EARTHY, MOLDY",0.3,absolute_error,sqrt,-1,432
RAW POTATO,0.3,absolute_error,sqrt,-1,432
MOUSE,0.15,friedman_mse,log2,-1,432
MUSHROOM,0.3,absolute_error,sqrt,-1,432
PEANUT BUTTER,0.15,poisson,sqrt,-1,432
BEANY,0,poisson,log2,-1,432
"EGGY, FRESH EGGS",0,absolute_error,log2,-1,432
"BARK,BIRCHBARK",0.15,absolute_error,log2,-1,432
CORK,0.3,absolute_error,sqrt,-1,432
"BURNT,SMOKY",0.15,poisson,log2,-1,432
FRESH TOBACCO SMOKE,0.15,poisson,log2,-1,432
INCENSE,0,absolute_error,log2,-1,432
COFFEE,0,absolute_error,log2,-1,432
STALE TOBACCO SMOKE,0.15,squared_error,log2,-1,432
BURNT PAPER,0,absolute_error,log2,-1,432
BURNT MILK,0.15,poisson,sqrt,-1,432
BURNT RUBBER,0.15,poisson,log2,-1,432
TAR,0.15,poisson,sqrt,-1,432
CREOSOTE,0.15,poisson,log2,-1,432
"DISINFECTANT, CARBOLIC",0.15,absolute_error,log2,-1,432
MEDICINAL,0,poisson,log2,-1,432
CHEMICAL,0.15,poisson,sqrt,-1,432
BITTER,0,poisson,log2,-1,432
"SHARP, PUNGENT, ACID",0.15,poisson,sqrt,-1,432
"SOUR, VINEGAR",0.15,squared_error,sqrt,-1,432
SAUERKRAUT,0,poisson,log2,-1,432
AMMONIA,0.15,poisson,sqrt,-1,432
URINE,0.15,poisson,log2,-1,432
CAT URINE,0.3,absolute_error,sqrt,-1,432
FISHY,0.3,absolute_error,log2,-1,432
"KIPPERY,SMOKED FISH",0.3,poisson,sqrt,-1,432
"SEMINAL, SPERM-LIKE",0.15,absolute_error,sqrt,-1,432
NEW RUBBER,0,poisson,sqrt,-1,432
