,descriptor_name,C,degree,epsilon,kernel
0,SAUERKRAUT,1,3,1,rbf
0,VANILLA,1,3,1,rbf
0,METALLIC,1,3,1,rbf
0,DILL,1,3,1,rbf
0,HONEY,1,3,1,rbf
0,ALMOND,1,3,1,rbf
0,BLACK PEPPER,1,3,1,rbf
0,MUSK,1,3,1,rbf
0,"GASOLINE, SOLVENT",1,3,1,rbf
0,CARDBOARD,1,3,1,rbf
0,"BUTTERY, FRESH BUTTER",1,3,1,rbf
0,NAIL POLISH REMOVER,1,3,1,rbf
0,"MINTY, PEPPERMINT",1,3,1,rbf
0,LEATHER,1,3,1,rbf
0,MOLASSES,1,3,1,rbf
0,"PUTRID, FOUL, DECAYED",1,3,1,rbf
0,DIRTY LINEN,1,3,1,rbf
0,"BARK,BIRCHBARK",1,3,1,rbf
0,CEDARWOOD,1,3,1,rbf
0,ROPE,1,3,1,rbf
0,"CHERRY, BERRY",1,3,1,rbf
0,BITTER,1,3,1,rbf
0,"FRUITY,OTHER THAN CITRUS",1,3,1,rbf
0,INCENSE,1,3,1,rbf
0,STRAWBERRY,1,3,1,rbf
0,GERANIUM LEAVES,1,3,1,rbf
0,BURNT CANDLE,1,3,1,rbf
0,CORK,1,3,1,rbf
0,SOUPY,1,3,1,rbf
0,MEDICINAL,1,3,1,rbf
0,"MEATY ( COOKED,GOOD)",1,3,1,rbf
0,BURNT PAPER,1,3,1,rbf
0,RANCID,1,3,1,rbf
0,FRESH GREEN VEGETABLES,1,3,1,rbf
0,LIGHT,1,3,1,rbf
0,HEAVY,1,3,1,rbf
0,EUCALYPTUS,1,3,1,rbf
0,SOUR MILK,1,3,1,rbf
0,"TURPENTINE, PINE OIL",1,3,1,rbf
0,RAISINS,1,3,1,rbf
0,CLOVE,1,3,1,rbf
0,CAMPHOR,1,3,1,rbf
0,GRAPE JUICE,1,3,1,rbf
0,PEAR,1,3,1,rbf
0,"DISINFECTANT, CARBOLIC",1,3,1,rbf
0,CARAWAY,1,3,1,rbf
0,"FECAL, LIKE MANURE",1,3,1,rbf
