,kernel,C,epsilon
"FRUITY,CITRUS",100,1,rbf
LEMON,10,1,rbf
GRAPEFRUIT,10,0.01,rbf
ORANGE,10,0.01,rbf
"FRUITY,OTHER THAN CITRUS",1,1,rbf
PINEAPPLE,1,0.01,rbf
GRAPE JUICE,1,1,rbf
STRAWBERRY,1,1,poly
"APPLE, FRUIT",1,0.01,rbf
PEAR,10,1,rbf
"CANTALOUPE, HONEYDEW MELON",100,0.01,rbf
PEACH FRUIT,1,1,poly
BANANA,1,1,poly
FLORAL,1,0.01,rbf
ROSE,1,1,rbf
VIOLETS,1,1,rbf
LAVENDER,1,0.01,rbf
COLOGNE,1,1,rbf
MUSK,100,1,rbf
PERFUMERY,1,1,rbf
FRAGRANT,1,1,rbf
AROMATIC,1,1,sigmoid
HONEY,1,1,rbf
"CHERRY, BERRY",1,1,rbf
ALMOND,100,0.01,rbf
NAIL POLISH REMOVER,100,1,rbf
"NUTTY, WALNUT ETC.",1,1,rbf
SPICY,1,0.01,rbf
CLOVE,1,1,rbf
CINNAMON,1,1,rbf
LAUREL LEAVES,100,1,rbf
TEA LEAVES,10,1,rbf
SEASONING FOR MEAT,10,0.01,rbf
BLACK PEPPER,1,1,rbf
GREEN PEPPER,10,1,rbf
DILL,1,1,rbf
CARAWAY,1,1,poly
"OAK WOOD,COGNAC",1,1,rbf
"WOODY, RESINOUS",1,1,rbf
CEDARWOOD,100,0.1,rbf
MOTHBALLS,10,1,rbf
"MINTY, PEPPERMINT",1,1,rbf
CAMPHOR,1,1,rbf
EUCALYPTUS,1,0.01,rbf
CHOCOLATE,1,1,rbf
VANILLA,10,1,rbf
SWEET,1,1,rbf
MAPLE SYRUP,1,0.01,rbf
CARAMEL,100,1,rbf
MALTY,10,0.01,rbf
RAISINS,10,1,poly
MOLASSES,1,0.01,rbf
COCONUT,10,1,poly
"ANISE, LICORICE",1,1,rbf
ALCOHOLIC,1,1,rbf
"ETHERISH, ANAESTHETIC",10,0.01,rbf
CLEANING FLUID,10,1,rbf
"GASOLINE, SOLVENT",100,0.01,rbf
"TURPENTINE, PINE OIL",100,1,rbf
GERANIUM LEAVES,1,1,rbf
CELERY,1,0.01,rbf
FRESH GREEN VEGETABLES,10,0.1,rbf
CRUSHED WEEDS,10,0.01,rbf
CRUSHED GRASS,1,1,rbf
"HERBAL, GREEN,CUTGRASS",1,1,rbf
RAW CUCUMBER,100,1,rbf
HAY,1,1,rbf
GRAINY (AS GRAIN),1,0.1,rbf
YEASTY,1,1,rbf
BAKERY (FRESH BREAD),1,0.01,rbf
SOUR MILK,100,0.1,rbf
"FERMENTED, ROTTEN FRUIT",1,1,rbf
BEERY,1,1,rbf
SOAPY,1,0.1,rbf
LEATHER,1,0.01,rbf
CARDBOARD,1,1,rbf
ROPE,1,0.1,rbf
WET PAPER,1,1,rbf
"WET WOOL,WET DOG",100,1,rbf
DIRTY LINEN,10,1,rbf
STALE,100,0.01,rbf
"MUSTY, EARTHY, MOLDY",1,1,rbf
RAW POTATO,1,1,poly
MOUSE,100,0.01,rbf
MUSHROOM,1,1,poly
PEANUT BUTTER,100,1,rbf
BEANY,10,1,rbf
"EGGY, FRESH EGGS",1,0.01,rbf
"BARK,BIRCHBARK",1,0.01,rbf
CORK,1,0.1,rbf
"BURNT,SMOKY",1,1,rbf
FRESH TOBACCO SMOKE,1,1,rbf
INCENSE,1,0.1,rbf
COFFEE,10,0.01,rbf
STALE TOBACCO SMOKE,100,0.01,rbf
BURNT PAPER,100,1,rbf
BURNT MILK,10,0.01,rbf
BURNT RUBBER,10,0.1,rbf
TAR,100,0.01,rbf
CREOSOTE,10,1,rbf
"DISINFECTANT, CARBOLIC",10,1,rbf
MEDICINAL,1,0.1,poly
CHEMICAL,100,0.01,rbf
BITTER,100,0.1,rbf
"SHARP, PUNGENT, ACID",10,0.1,rbf
"SOUR, VINEGAR",100,0.01,rbf
SAUERKRAUT,1,0.01,rbf
AMMONIA,100,0.1,rbf
URINE,100,0.1,rbf
CAT URINE,100,1,poly
FISHY,1,0.01,rbf
"KIPPERY,SMOKED FISH",1,0.1,rbf
"SEMINAL, SPERM-LIKE",10,1,rbf
NEW RUBBER,1,0.1,rbf
SOOTY,1,0.1,rbf
BURNT CANDLE,1,0.01,rbf
KEROSENE,100,0.01,rbf
"OILY, FATTY",1,0.01,rbf
"BUTTERY, FRESH BUTTER",100,1,rbf
PAINT,100,1,rbf
VARNISH,10,0.01,rbf
POPCORN,1,0.01,rbf
FRIED CHICKEN,1,1,poly
"MEATY ( COOKED,GOOD)",10,1,rbf
SOUPY,1,0.01,rbf
COOKED VEGETABLES,1,0.01,rbf
RANCID,100,0.01,rbf
SWEATY,100,1,rbf
CHEESY,1,0.1,rbf
HOUSEHOLD GAS,100,0.01,rbf
SULFIDIC,100,1,rbf
"GARLIC, ONION",100,0.1,rbf
METALLIC,1,1,rbf
"BLOOD, RAW MEAT",100,0.01,rbf
ANIMAL,100,1,rbf
SEWER,100,0.1,rbf
"PUTRID, FOUL, DECAYED",100,0.01,rbf
"FECAL, LIKE MANURE",100,0.01,rbf
CADAVEROUS,100,0.01,rbf
SICKENING,100,1,rbf
"DRY, POWDERY",1,0.1,poly
CHALKY,1,0.01,poly
LIGHT,1,1,rbf
HEAVY,10,1,rbf
"COOL,COOLING",10,1,rbf
WARM,10,1,rbf
