,loss,learning_rate,ccp_alpha,n_iter_no_change,random_state
"FRUITY,CITRUS",0,0.05,absolute_error,15,432
LEMON,0,0.05,absolute_error,15,432
GRAPEFRUIT,0.15,0.05,huber,15,432
ORANGE,0,0.1,absolute_error,5,432
"FRUITY,OTHER THAN CITRUS",0.3,0.05,squared_error,15,432
PINEAPPLE,0.3,0.05,squared_error,15,432
GRAPE JUICE,0.15,0.1,huber,15,432
STRAWBERRY,0,0.05,huber,5,432
"APPLE, FRUIT",0.15,0.1,squared_error,5,432
PEAR,0,0.05,squared_error,5,432
"CANTALOUPE, HONEYDEW MELON",0,0.1,absolute_error,15,432
PEACH FRUIT,0,0.05,squared_error,15,432
BANANA,0,0.05,huber,10,432
FLORAL,0.3,0.1,squared_error,15,432
ROSE,0.15,0.1,huber,15,432
VIOLETS,0,0.05,huber,10,432
LAVENDER,0.3,0.05,squared_error,15,432
COLOGNE,0.3,0.05,huber,15,432
MUSK,0.3,0.1,huber,15,432
PERFUMERY,0.3,0.05,huber,15,432
FRAGRANT,0,0.05,huber,15,432
AROMATIC,0.15,0.1,squared_error,5,432
HONEY,0.3,0.1,huber,15,432
"CHERRY, BERRY",0.3,0.05,huber,10,432
ALMOND,0,0.1,absolute_error,5,432
NAIL POLISH REMOVER,0,0.1,absolute_error,15,432
"NUTTY, WALNUT ETC.",0.3,0.1,huber,15,432
SPICY,0.3,0.1,huber,10,432
CLOVE,0.3,0.1,huber,15,432
CINNAMON,0.3,0.1,huber,15,432
LAUREL LEAVES,0.15,0.1,squared_error,5,432
TEA LEAVES,0,0.1,absolute_error,15,432
SEASONING FOR MEAT,0,0.05,huber,10,432
BLACK PEPPER,0,0.05,huber,5,432
GREEN PEPPER,0.15,0.1,huber,15,432
DILL,0.3,0.05,squared_error,5,432
CARAWAY,0,0.05,squared_error,10,432
"OAK WOOD,COGNAC",0.3,0.1,huber,15,432
"WOODY, RESINOUS",0.15,0.05,huber,5,432
CEDARWOOD,0,0.1,huber,5,432
MOTHBALLS,0.15,0.05,huber,5,432
"MINTY, PEPPERMINT",0.15,0.1,absolute_error,5,432
CAMPHOR,0.3,0.05,huber,5,432
EUCALYPTUS,0,0.1,absolute_error,5,432
CHOCOLATE,0.15,0.1,huber,10,432
VANILLA,0,0.05,huber,5,432
SWEET,0,0.1,squared_error,15,432
MAPLE SYRUP,0.15,0.1,huber,15,432
CARAMEL,0.3,0.1,huber,10,432
