,n_neighbors,weights,n_jobs,p
"FRUITY,CITRUS",-1,10,1,distance
LEMON,-1,10,1,uniform
GRAPEFRUIT,-1,10,1,uniform
ORANGE,-1,10,1,distance
"FRUITY,OTHER THAN CITRUS",-1,5,3,distance
PINEAPPLE,-1,3,3,uniform
GRAPE JUICE,-1,10,2,distance
STRAWBERRY,-1,5,3,distance
"APPLE, FRUIT",-1,5,1,uniform
PEAR,-1,5,3,uniform
"CANTALOUPE, HONEYDEW MELON",-1,3,3,uniform
PEACH FRUIT,-1,5,3,uniform
BANANA,-1,5,3,uniform
FLORAL,-1,5,3,uniform
ROSE,-1,5,3,uniform
VIOLETS,-1,5,3,uniform
LAVENDER,-1,5,3,uniform
COLOGNE,-1,5,2,uniform
MUSK,-1,10,2,uniform
PERFUMERY,-1,5,3,uniform
FRAGRANT,-1,10,2,uniform
AROMATIC,-1,10,2,uniform
HONEY,-1,5,3,uniform
"CHERRY, BERRY",-1,5,3,uniform
ALMOND,-1,10,3,uniform
NAIL POLISH REMOVER,-1,5,1,uniform
"NUTTY, WALNUT ETC.",-1,5,3,uniform
SPICY,-1,10,1,uniform
CLOVE,-1,10,2,uniform
CINNAMON,-1,10,1,uniform
LAUREL LEAVES,-1,10,1,uniform
TEA LEAVES,-1,10,1,uniform
SEASONING FOR MEAT,-1,10,2,uniform
BLACK PEPPER,-1,10,1,uniform
GREEN PEPPER,-1,10,1,uniform
DILL,-1,10,2,distance
CARAWAY,-1,10,2,distance
"OAK WOOD,COGNAC",-1,10,3,uniform
"WOODY, RESINOUS",-1,10,3,uniform
CEDARWOOD,-1,10,3,uniform
MOTHBALLS,-1,10,2,distance
"MINTY, PEPPERMINT",-1,10,2,uniform
CAMPHOR,-1,5,2,uniform
EUCALYPTUS,-1,5,2,distance
CHOCOLATE,-1,10,3,distance
VANILLA,-1,10,3,distance
SWEET,-1,10,3,distance
MAPLE SYRUP,-1,10,3,distance
CARAMEL,-1,10,3,distance
MALTY,-1,10,3,uniform
RAISINS,-1,10,1,uniform
MOLASSES,-1,10,2,uniform
COCONUT,-1,10,1,distance
"ANISE, LICORICE",-1,10,3,uniform
ALCOHOLIC,-1,10,3,uniform
"ETHERISH, ANAESTHETIC",-1,5,2,uniform
CLEANING FLUID,-1,5,3,uniform
"GASOLINE, SOLVENT",-1,10,3,uniform
"TURPENTINE, PINE OIL",-1,10,3,uniform
GERANIUM LEAVES,-1,10,3,uniform
CELERY,-1,10,3,uniform
FRESH GREEN VEGETABLES,-1,10,3,uniform
CRUSHED WEEDS,-1,10,3,uniform
CRUSHED GRASS,-1,10,3,uniform
"HERBAL, GREEN,CUTGRASS",-1,10,3,uniform
RAW CUCUMBER,-1,10,3,uniform
HAY,-1,10,3,distance
GRAINY (AS GRAIN),-1,10,2,uniform
YEASTY,-1,5,3,uniform
BAKERY (FRESH BREAD),-1,3,3,uniform
SOUR MILK,-1,10,3,uniform
"FERMENTED, ROTTEN FRUIT",-1,10,2,distance
BEERY,-1,5,3,uniform
SOAPY,-1,10,1,uniform
LEATHER,-1,10,1,uniform
CARDBOARD,-1,10,3,uniform
ROPE,-1,10,1,uniform
WET PAPER,-1,10,3,uniform
"WET WOOL,WET DOG",-1,10,3,uniform
DIRTY LINEN,-1,10,3,distance
STALE,-1,10,2,uniform
"MUSTY, EARTHY, MOLDY",-1,10,3,distance
RAW POTATO,-1,10,1,uniform
MOUSE,-1,10,2,uniform
MUSHROOM,-1,10,3,distance
PEANUT BUTTER,-1,10,3,distance
BEANY,-1,10,3,uniform
"EGGY, FRESH EGGS",-1,10,3,uniform
"BARK,BIRCHBARK",-1,10,3,distance
CORK,-1,5,2,distance
"BURNT,SMOKY",-1,5,3,uniform
FRESH TOBACCO SMOKE,-1,10,3,uniform
INCENSE,-1,10,2,uniform
COFFEE,-1,10,2,distance
STALE TOBACCO SMOKE,-1,10,3,distance
BURNT PAPER,-1,10,2,uniform
BURNT MILK,-1,10,3,uniform
BURNT RUBBER,-1,10,1,uniform
TAR,-1,10,2,uniform
CREOSOTE,-1,10,2,uniform
"DISINFECTANT, CARBOLIC",-1,10,2,uniform
MEDICINAL,-1,5,2,uniform
CHEMICAL,-1,10,2,uniform
BITTER,-1,10,1,uniform
"SHARP, PUNGENT, ACID",-1,10,1,uniform
"SOUR, VINEGAR",-1,10,3,uniform
SAUERKRAUT,-1,10,3,distance
AMMONIA,-1,10,3,uniform
URINE,-1,3,3,distance
CAT URINE,-1,3,3,distance
FISHY,-1,10,1,uniform
