,fit_intercept
"FRUITY,CITRUS",True
LEMON,False
GRAPEFRUIT,True
ORANGE,True
"FRUITY,OTHER THAN CITRUS",False
PINEAPPLE,True
GRAPE JUICE,False
STRAWBERRY,False
"APPLE, FRUIT",True
PEAR,True
"CANTALOUPE, HONEYDEW MELON",False
PEACH FRUIT,False
BANANA,False
FLORAL,False
ROSE,False
VIOLETS,False
LAVENDER,False
COLOGNE,True
MUSK,True
PERFUMERY,False
FRAGRANT,False
AROMATIC,False
HONEY,False
"CHERRY, BERRY",False
ALMOND,True
NAIL POLISH REMOVER,False
"NUTTY, WALNUT ETC.",True
SPICY,False
CLOVE,True
CINNAMON,True
LAUREL LEAVES,True
TEA LEAVES,False
SEASONING FOR MEAT,True
BLACK PEPPER,True
GREEN PEPPER,True
DILL,True
CARAWAY,True
"OAK WOOD,COGNAC",False
"WOODY, RESINOUS",False
CEDARWOOD,True
MOTHBALLS,False
"MINTY, PEPPERMINT",True
CAMPHOR,True
EUCALYPTUS,True
CHOCOLATE,True
VANILLA,False
SWEET,False
MAPLE SYRUP,True
CARAMEL,False
MALTY,False
RAISINS,False
MOLASSES,True
COCONUT,True
"ANISE, LICORICE",False
ALCOHOLIC,True
"ETHERISH, ANAESTHETIC",True
CLEANING FLUID,False
"GASOLINE, SOLVENT",True
"TURPENTINE, PINE OIL",True
GERANIUM LEAVES,True
CELERY,False
FRESH GREEN VEGETABLES,True
CRUSHED WEEDS,True
CRUSHED GRASS,True
"HERBAL, GREEN,CUTGRASS",True
RAW CUCUMBER,True
HAY,True
GRAINY (AS GRAIN),True
YEASTY,False
BAKERY (FRESH BREAD),True
SOUR MILK,False
"FERMENTED, ROTTEN FRUIT",False
BEERY,False
SOAPY,True
LEATHER,False
CARDBOARD,False
ROPE,False
WET PAPER,False
"WET WOOL,WET DOG",False
DIRTY LINEN,False
STALE,False
"MUSTY, EARTHY, MOLDY",False
RAW POTATO,True
MOUSE,False
MUSHROOM,True
PEANUT BUTTER,True
BEANY,True
"EGGY, FRESH EGGS",True
"BARK,BIRCHBARK",False
CORK,False
"BURNT,SMOKY",False
FRESH TOBACCO SMOKE,True
INCENSE,True
COFFEE,True
STALE TOBACCO SMOKE,False
BURNT PAPER,False
BURNT MILK,True
BURNT RUBBER,True
TAR,False
CREOSOTE,False
"DISINFECTANT, CARBOLIC",True
MEDICINAL,True
CHEMICAL,True
BITTER,False
"SHARP, PUNGENT, ACID",False
"SOUR, VINEGAR",False
SAUERKRAUT,True
AMMONIA,True
URINE,False
CAT URINE,True
FISHY,True
"KIPPERY,SMOKED FISH",True
"SEMINAL, SPERM-LIKE",False
NEW RUBBER,True
SOOTY,False
BURNT CANDLE,True
KEROSENE,True
"OILY, FATTY",True
"BUTTERY, FRESH BUTTER",True
PAINT,False
VARNISH,False
POPCORN,True
FRIED CHICKEN,True
"MEATY ( COOKED,GOOD)",True
SOUPY,False
COOKED VEGETABLES,False
RANCID,False
SWEATY,False
CHEESY,False
HOUSEHOLD GAS,True
SULFIDIC,True
"GARLIC, ONION",True
METALLIC,True
"BLOOD, RAW MEAT",True
ANIMAL,False
SEWER,False
"PUTRID, FOUL, DECAYED",False
"FECAL, LIKE MANURE",False
CADAVEROUS,False
SICKENING,False
"DRY, POWDERY",True
CHALKY,True
LIGHT,True
HEAVY,False
"COOL,COOLING",False
WARM,False
