,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",0.23248576530668424,-54.84409566122779
LEMON,0.11057351039365966,-48.472565393873374
GRAPEFRUIT,0.005120777829674105,-2.846228607336272
ORANGE,0.11102120714048572,-20.730506696684728
"FRUITY,OTHER THAN CITRUS",0.4219749521628101,-79.94376402865498
PINEAPPLE,0.32872965580828317,-15.161003388889071
GRAPE JUICE,0.015382838975666857,-13.718768677717204
STRAWBERRY,0.3214047617496286,-8.012180977760968
"APPLE, FRUIT",4.4408920985006264e-17,-0.1743714652361148
PEAR,0.299922529894274,-2.3910795229096373
"CANTALOUPE, HONEYDEW MELON",0.16413658775326,-11.514742810723623
PEACH FRUIT,0.3543620597426324,-1.9942056163793214
BANANA,0.07291093753038984,-8.56973725999413
FLORAL,0.22674105910510298,-85.56394298650591
ROSE,0.15888091394072756,-47.64282791395972
VIOLETS,0.09784621360810923,-7.515683295363826
LAVENDER,0.09724653988894541,-6.981406978022873
COLOGNE,0.17159439957241882,-15.572580008110526
MUSK,4.4408920985006264e-17,-16.515679369064635
PERFUMERY,0.2175909586279947,-93.18172592390071
FRAGRANT,0.2634404275950776,-194.09349323501147
AROMATIC,0.12255015765835768,-96.76517430274214
HONEY,0.002315326758506675,-2.7004498213944403
"CHERRY, BERRY",0.016353638520635205,-23.327778453322388
ALMOND,0.0386937562044787,-68.3942811894862
NAIL POLISH REMOVER,0.06909409701277033,-13.53266971060782
"NUTTY, WALNUT ETC.",0.13464654663158812,-14.55116278035538
SPICY,0.07203477155175364,-75.42175183269345
CLOVE,0.00018420100125551286,-29.546167643404164
CINNAMON,0.01384872530099337,-37.75336817571944
LAUREL LEAVES,0.06035607179992268,-0.39192389061802946
TEA LEAVES,0.08783563807039378,-0.7093538855725422
SEASONING FOR MEAT,0.01340390058373384,-2.47227118463127
BLACK PEPPER,0.07150318078593246,-2.3152216497838247
GREEN PEPPER,0.04564338585465142,-4.278386823368878
DILL,0.016966649669749943,-1.5649193869411306
CARAWAY,0.03876722694207606,-0.8797238001270171
"OAK WOOD,COGNAC",4.4408920985006264e-17,-1.8237333930879118
"WOODY, RESINOUS",0.05229210629749666,-70.76046080537338
CEDARWOOD,0.13142844145338003,-40.045086595580216
MOTHBALLS,4.4408920985006264e-17,-34.01407051659272
"MINTY, PEPPERMINT",0.0337303600695086,-107.9591615392442
CAMPHOR,0.0002165968840351029,-60.83209847999301
EUCALYPTUS,0.02216004632686046,-31.677592679913367
CHOCOLATE,0.00794745016594105,-11.21814380522022
VANILLA,0.013875067464657453,-26.315679381807293
SWEET,0.23454867659529474,-165.13201470584087
MAPLE SYRUP,0.008280825531887737,-14.963727303494247
CARAMEL,0.0014140957831922263,-10.217908785027024
MALTY,0.0532280649747616,-5.241474180440396
RAISINS,0.0054454806421393885,-15.553809913326234
MOLASSES,0.10626159915654868,-2.5957458178614474
COCONUT,1.3322676295501878e-16,-35.72136817120737
"ANISE, LICORICE",0.0019841680914647773,-93.31075668184391
ALCOHOLIC,0.017808663965859183,-17.58292566516487
"ETHERISH, ANAESTHETIC",0.07163350966699797,-53.49315645452913
CLEANING FLUID,0.13004517852655556,-12.06414818975837
"GASOLINE, SOLVENT",0.05082074152947014,-27.331558724036427
"TURPENTINE, PINE OIL",0.1347123032177382,-31.453630145799075
GERANIUM LEAVES,0.06447688450649518,-2.9443027602585192
CELERY,0.021937162370995456,-4.714539606547196
FRESH GREEN VEGETABLES,0.030512565048615194,-6.261166465427736
CRUSHED WEEDS,0.04701157591484506,-6.918357798866991
CRUSHED GRASS,0.10749116400160708,-7.185711848725768
"HERBAL, GREEN,CUTGRASS",0.1411228232237146,-42.85143770166735
RAW CUCUMBER,1.554312234475219e-16,-1.7188851890044936
HAY,6.661338147750939e-17,-2.3431323475793393
GRAINY (AS GRAIN),0.07452618369980606,-2.726235367468185
YEASTY,0.24841087382035815,-2.51994777788929
BAKERY (FRESH BREAD),6.661338147750939e-17,-0.7371159436990974
SOUR MILK,0.06913152069973531,-11.426555041518274
"FERMENTED, ROTTEN FRUIT",0.05643528890690388,-2.050092283493273
BEERY,1.554312234475219e-16,-0.30781847725852696
SOAPY,0.08682002179502797,-12.74053487971664
LEATHER,0.1187456063041733,-2.3185013211210426
CARDBOARD,0.06069024916925092,-2.770813696855346
ROPE,0.11691196092789817,-0.603756770981474
WET PAPER,0.006270601250306251,-1.3525385524094053
"WET WOOL,WET DOG",0.06498386751657728,-3.1965646770755107
DIRTY LINEN,0.11071412548835602,-4.539072437359487
STALE,0.15005386828684805,-6.934484573099735
"MUSTY, EARTHY, MOLDY",0.11317501674919198,-56.452828897445784
RAW POTATO,0.0032559845549336775,-2.861972453505347
MOUSE,0.10270486467119902,-0.776996508832233
MUSHROOM,0.04362033584991705,-18.4086386146851
PEANUT BUTTER,0.026010908497467032,-14.98982337658517
BEANY,0.025190122219933487,-0.498037045240349
"EGGY, FRESH EGGS",8.881784197001253e-17,-0.18607217528011494
"BARK,BIRCHBARK",0.03042531220980882,-5.02903581198385
CORK,0.12824283603214098,-1.26895260776217
"BURNT,SMOKY",0.1394321838138437,-57.58329799953177
FRESH TOBACCO SMOKE,8.881784197001253e-17,-0.5635451027843266
INCENSE,0.11305750743262206,-8.514156521681397
COFFEE,0.13443373805360934,-2.8480393297900197
STALE TOBACCO SMOKE,0.08625992867000187,-1.7451821835721248
BURNT PAPER,0.09701426217965856,-5.838893845701927
BURNT MILK,0.036781158823364926,-0.41551714624520775
BURNT RUBBER,0.06002380785172627,-5.906019727506046
TAR,0.2702599426356284,-8.36407544129983
CREOSOTE,0.2952632032843624,-8.579267023545732
"DISINFECTANT, CARBOLIC",0.09704320429066741,-35.25662289542633
MEDICINAL,0.11551436909701722,-81.98626528387024
CHEMICAL,0.2014103536460329,-49.975637701115375
BITTER,0.010646454985548882,-2.708319562928274
"SHARP, PUNGENT, ACID",0.07490455130510942,-59.08890397290579
"SOUR, VINEGAR",0.017980450183157325,-38.45178192491396
SAUERKRAUT,0.026174941174634238,-1.3228369907210058
AMMONIA,0.06152851324971633,-4.037818293363087
URINE,-4.4408920985006264e-17,-8.473103544320823
CAT URINE,0.007594610804263468,-33.08342518564393
FISHY,0.018040589740819367,-52.98988695893229
"KIPPERY,SMOKED FISH",0.030983613087341787,-6.269170752868474
"SEMINAL, SPERM-LIKE",0.0,-0.3656499402984318
NEW RUBBER,0.12155993814465045,-2.9204010837768295
SOOTY,0.12166273298889907,-1.1301154211649642
BURNT CANDLE,0.012905309543802024,-60.09611495851018
KEROSENE,0.08860409888330675,-4.05918007081597
"OILY, FATTY",0.09980710906148416,-38.266350583464494
"BUTTERY, FRESH BUTTER",0.0166816557653237,-6.329586775096251
PAINT,0.13496893323540898,-22.94852138874318
VARNISH,0.09627537103370738,-9.203054992197767
POPCORN,0.04589130683234497,-28.926196149295542
FRIED CHICKEN,0.005041570128242134,-0.8480304056373003
"MEATY ( COOKED,GOOD)",0.03587253430996022,-5.087821062297669
SOUPY,1.3322676295501878e-16,-0.3260946238072133
COOKED VEGETABLES,0.027772944106548136,-2.6363788818818423
RANCID,0.10710742055102715,-56.37956304637635
SWEATY,0.08526392213978366,-49.362988018489354
CHEESY,0.029447208596476405,-1.8820424292051527
HOUSEHOLD GAS,0.004906215987759,-15.296224802505066
SULFIDIC,0.01294532265327728,-22.778339541821317
"GARLIC, ONION",0.05297514436296742,-46.84364829572076
METALLIC,0.01570821485195777,-4.1568501300470935
"BLOOD, RAW MEAT",0.050432334207701414,-4.442039939624754
ANIMAL,0.012994748045525983,-9.751689959544885
SEWER,0.011485858372112334,-17.68262572686274
"PUTRID, FOUL, DECAYED",0.031901087916749414,-80.65905960643082
"FECAL, LIKE MANURE",0.04498579865612033,-32.511809303752884
CADAVEROUS,0.030466982426926116,-15.81199558217906
SICKENING,0.10406106337372248,-204.09195941538
"DRY, POWDERY",0.06121278787542839,-8.271544985940356
CHALKY,0.002862596740778356,-3.082533606784524
LIGHT,0.2003332275065531,-56.48739260803249
HEAVY,0.06734589931341628,-55.5574302966714
"COOL,COOLING",0.14231417147367398,-63.92107325789088
WARM,0.008078895727558332,-17.49168010874625
