,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",-0.09385534984697312,-52.15481297016538
LEMON,-0.5278289895771044,-58.51814237659507
GRAPEFRUIT,-0.43960253698835405,-2.739435529959663
ORANGE,-0.10639534628704517,-19.62758597290299
"FRUITY,OTHER THAN CITRUS",0.37217615613159005,-88.61867834428024
PINEAPPLE,0.23176156119218566,-15.21112643523727
GRAPE JUICE,-0.643293768914412,-17.46866935763547
STRAWBERRY,0.312424479386158,-8.267043103357102
"APPLE, FRUIT",-0.13939606099468982,-0.1854416482758621
PEAR,0.2628046588949383,-2.451670238095238
"CANTALOUPE, HONEYDEW MELON",0.015321030523143753,-11.226529511330048
PEACH FRUIT,0.2707428979372225,-2.147542818828681
BANANA,-0.3764875904840849,-11.128552509359604
FLORAL,0.2425746505574487,-85.09826039014777
ROSE,-0.03777555942295037,-49.767596112315275
VIOLETS,0.05463394812222686,-7.705403855172413
LAVENDER,0.11432899322312265,-6.841048345812807
COLOGNE,0.179784965512473,-14.159370941434045
MUSK,-0.10823645940497577,-15.865194565763545
PERFUMERY,0.26913965167235376,-87.21462535763547
FRAGRANT,0.24373962498092752,-199.4775996187192
AROMATIC,0.14208389841148533,-92.7599536817734
HONEY,0.10961128129444657,-2.4858119546798028
"CHERRY, BERRY",0.12695688139442488,-23.31142374679803
ALMOND,-0.3893408930456073,-60.5950949775862
NAIL POLISH REMOVER,-0.19597945070774628,-14.004743959280791
"NUTTY, WALNUT ETC.",0.19684496241337354,-12.15306139408867
SPICY,0.04851860816983191,-81.39969633500495
CLOVE,-0.4717282982094072,-30.320554186206902
CINNAMON,-0.20882879603891666,-42.84811099581281
LAUREL LEAVES,-0.02512858190099545,-0.39977892660098524
TEA LEAVES,0.11932677637017652,-0.6092541086206897
SEASONING FOR MEAT,-0.06058238941162282,-2.4658235285714283
BLACK PEPPER,-0.13520601056783196,-2.452297105172413
GREEN PEPPER,-0.5744595486205226,-4.577359796620835
DILL,0.07152359484544257,-1.4417009125561009
CARAWAY,0.1147902898798679,-0.8340635862274473
"OAK WOOD,COGNAC",-0.06135423545698047,-2.0005021371921186
"WOODY, RESINOUS",0.061080844483167106,-70.43020640320196
CEDARWOOD,0.006100665461334876,-39.46689249950739
MOTHBALLS,-0.11886614015787615,-36.39588256547818
"MINTY, PEPPERMINT",-0.4052200941934293,-106.67775230394088
CAMPHOR,-0.026387908571252172,-55.11600010552731
EUCALYPTUS,-0.21057769724426945,-26.723553973290695
CHOCOLATE,0.06732682679331352,-11.131587403519289
VANILLA,-0.04473228293457807,-25.219668659113303
SWEET,0.18117593937526508,-172.1914701743683
MAPLE SYRUP,-1.0422652955987979,-14.475422264496222
CARAMEL,-0.08508873983940965,-9.662830242015293
MALTY,0.04516164544048766,-5.354738530788178
RAISINS,-0.8445561578551601,-16.424756146305413
MOLASSES,-0.058039309294401265,-2.7522490453215056
COCONUT,-1.3522972823313073,-40.80804001835465
"ANISE, LICORICE",-0.697817079811153,-91.48183975418718
ALCOHOLIC,-0.06998864291305082,-16.44758625615764
"ETHERISH, ANAESTHETIC",0.041432634451302144,-52.23098422561577
CLEANING FLUID,-0.010763017866902435,-13.357905999014779
"GASOLINE, SOLVENT",-0.046508660353978847,-28.266965269950738
"TURPENTINE, PINE OIL",0.028157445421123795,-35.83781542610837
GERANIUM LEAVES,0.041274552856192324,-2.87597201724138
