,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",-48397581427.002396,-1723443212074.168
LEMON,-66107481422.7052,-929323016495.581
GRAPEFRUIT,-80360583209.0253,-52326248814.45485
ORANGE,-72668531430.4473,-828209093068.4177
"FRUITY,OTHER THAN CITRUS",-48282957649.75261,-3973589934440.678
PINEAPPLE,-53164158932.85392,-340811477879.36786
GRAPE JUICE,-517777212200.86786,-335073934510.52655
STRAWBERRY,-104727812685.94888,-548171264474.182
"APPLE, FRUIT",-23625734323.829193,-2734754578.523635
PEAR,-49463607791.10386,-63094101379.114975
"CANTALOUPE, HONEYDEW MELON",-132292918737.46252,-506657500923.31995
PEACH FRUIT,-34734605724.76665,-101789109434.15262
BANANA,-295461775967.1176,-524477597282.4282
FLORAL,-35308244357.36546,-3179444936452.3506
ROSE,-65473997846.69594,-1097797059381.46
VIOLETS,-44193509415.61683,-198872030302.67676
LAVENDER,-27029573260.39986,-203392012282.59222
COLOGNE,-7941485843.21091,-214645880886.62305
MUSK,-28703974709.22716,-143780202496.40985
PERFUMERY,-18847222032.031593,-2753650352527.5283
FRAGRANT,-40194655438.59231,-10657006390908.24
AROMATIC,-46571160219.11234,-4581321570806.396
HONEY,-14119679337.980663,-32512980655.792625
"CHERRY, BERRY",-114010878041.46745,-1433310104246.9602
ALMOND,-294256681249.8485,-2375393070856.521
NAIL POLISH REMOVER,-51118962896.386826,-242420981038.01416
"NUTTY, WALNUT ETC.",-127825106927.98276,-798978066970.6299
SPICY,-38314721529.29509,-1511460101441.3687
CLOVE,-448276778162.36053,-1578500110088.1726
CINNAMON,-194839169932.24503,-988052584365.5137
LAUREL LEAVES,-43173616538.861694,-14847722291.790386
TEA LEAVES,-31895633753.452045,-24027286809.543056
SEASONING FOR MEAT,-20158887586.897564,-29763130246.41095
BLACK PEPPER,-114143103339.1346,-113365386412.12968
GREEN PEPPER,-487567505273.9645,-145748213699.88763
DILL,-104143635418.03168,-105271359644.08852
CARAWAY,-31183451147.277718,-9332452553.62291
"OAK WOOD,COGNAC",-70367788242.1392,-86728794817.15993
"WOODY, RESINOUS",-37904705687.432175,-2478279605067.543
CEDARWOOD,-15395975195.892857,-740581284072.1538
MOTHBALLS,-23479916832.23055,-576205755344.9816
"MINTY, PEPPERMINT",-117979603439.04648,-1260962346103.0107
CAMPHOR,-55630784291.35818,-969734096601.3206
EUCALYPTUS,-98879504670.95242,-513544909333.6683
CHOCOLATE,-612785168508.7006,-193742993241.6359
VANILLA,-148640218204.38016,-573826367911.7522
SWEET,-43531606382.180176,-8028360319111.278
MAPLE SYRUP,-72489909177.80403,-79518862099.02708
CARAMEL,-71526267313.34395,-148083153453.0115
MALTY,-56721084906.46214,-122852407947.67114
RAISINS,-3918483141566.126,-3196118000371.367
MOLASSES,-18312377320.372467,-13548731143.93665
COCONUT,-2014211906821.4243,-3298909459279.584
"ANISE, LICORICE",-597904291530.1208,-2146823236631.9976
ALCOHOLIC,-179808249375.1828,-937696792322.3834
"ETHERISH, ANAESTHETIC",-32358712625.312828,-1239497091173.1775
CLEANING FLUID,-15081378916.568237,-126441516299.38223
"GASOLINE, SOLVENT",-19593370377.81622,-515552552899.97473
"TURPENTINE, PINE OIL",-25914470064.19605,-419992378000.53186
GERANIUM LEAVES,-126698476287.85689,-138900247950.26965
CELERY,-13434071455.46394,-26785335752.04606
FRESH GREEN VEGETABLES,-103996217230.53522,-262722629553.81577
CRUSHED WEEDS,-131435626056.23784,-338493614675.201
CRUSHED GRASS,-65671780588.044785,-223307648061.16766
"HERBAL, GREEN,CUTGRASS",-40082217520.32041,-1331949720205.8782
RAW CUCUMBER,-131165708901.93735,-38108023969.28291
HAY,-36976398130.26566,-45970425390.68387
GRAINY (AS GRAIN),-131678506614.76884,-109669592948.54819
YEASTY,-21035236535.62031,-83554104981.19107
BAKERY (FRESH BREAD),-15190702421.953497,-8484910410.740153
SOUR MILK,-243692260045.38437,-365813958594.4503
"FERMENTED, ROTTEN FRUIT",-17059786225.430424,-31933754509.971565
BEERY,-73571651283.59511,-12486743599.30019
SOAPY,-24953152959.789543,-177255885013.76434
LEATHER,-96113922515.99522,-139761231548.5223
CARDBOARD,-81072342038.87793,-187593090122.4968
ROPE,-39849331968.64062,-27880305599.49524
WET PAPER,-34407137203.91757,-39685842735.44599
"WET WOOL,WET DOG",-112891223489.93234,-270110367355.56183
DIRTY LINEN,-56512670734.06038,-183051301226.9399
STALE,-22312921642.388958,-188306911035.2599
"MUSTY, EARTHY, MOLDY",-40745061806.16475,-2198803657749.4187
RAW POTATO,-204151042120.35724,-148734617061.33154
MOUSE,-40914836049.123344,-28705613183.22584
MUSHROOM,-353630408282.4933,-461731746888.15204
PEANUT BUTTER,-1645314921346.826,-1207410851068.2498
BEANY,-53602088937.26216,-18667440895.141342
