,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",0.0631861813875441,-52.20097228828264
LEMON,-0.18996585795292295,-59.81239916080515
GRAPEFRUIT,-6.661338147750939e-17,-2.4885250537909362
ORANGE,0.0265056720901272,-18.66925487529729
"FRUITY,OTHER THAN CITRUS",0.40691595615336384,-89.8425260703719
PINEAPPLE,0.2113288101732576,-15.124253566086818
GRAPE JUICE,0.0035491703725244682,-15.36487656889347
STRAWBERRY,0.4759099385167005,-8.658792137887641
"APPLE, FRUIT",0.0,-0.1751179103492604
PEAR,0.18293233025148511,-2.5970155345232717
"CANTALOUPE, HONEYDEW MELON",0.11505478719126408,-11.271886417604213
PEACH FRUIT,0.3029613010768665,-2.0642272016453203
BANANA,0.006232051251393034,-11.446943812246307
FLORAL,0.1725070676838294,-92.51934441849752
ROSE,0.07281097166866395,-49.68020342527278
VIOLETS,0.09684838783360823,-7.688206059363144
LAVENDER,0.14507117424482605,-6.875617646828388
COLOGNE,0.16504574847904527,-14.270260473893035
MUSK,-0.05261233604188305,-16.947248786299262
PERFUMERY,0.22294404668340784,-91.6147376581126
FRAGRANT,0.24250473827399954,-198.55600893362825
AROMATIC,0.08464524939070328,-98.49882409175059
HONEY,0.028531918428838465,-2.658766627350703
"CHERRY, BERRY",0.1538034300598517,-21.441978774220242
ALMOND,-0.6835309528133818,-67.33320631133694
NAIL POLISH REMOVER,0.06140792405953428,-13.401522800199269
"NUTTY, WALNUT ETC.",0.05860643127597589,-14.124698968688548
SPICY,0.07542351999547829,-79.94951807454129
CLOVE,-0.0323605448948739,-30.07516705608682
CINNAMON,-0.10041201643539861,-42.875277193427806
LAUREL LEAVES,0.004045955382574418,-0.3895299114223339
TEA LEAVES,0.09003746699990725,-0.6569629024666177
SEASONING FOR MEAT,-0.0008467936610733418,-2.4471360561882953
BLACK PEPPER,0.014235008895093526,-2.33084376930438
GREEN PEPPER,0.0009480164929406732,-4.377339361155667
DILL,0.006841378438955071,-1.5519359586874788
CARAWAY,0.14644065695231423,-0.8192235626882896
"OAK WOOD,COGNAC",4.4408920985006264e-17,-1.821051817157927
"WOODY, RESINOUS",0.00012183160630372392,-74.22159666647079
CEDARWOOD,-0.15158197125405845,-47.647594542915165
MOTHBALLS,-0.1001977369370898,-36.82136226859852
"MINTY, PEPPERMINT",-1.94758587435815,-119.90451663788579
CAMPHOR,-0.04565901657607816,-60.309310523987655
EUCALYPTUS,-0.12584403658213206,-31.285163097836243
CHOCOLATE,-0.3524523280498769,-11.505149423752467
VANILLA,-0.023698251391558966,-26.305495377474756
SWEET,0.22984528211835903,-162.82941116827055
MAPLE SYRUP,0.013111408549988223,-14.219857050024018
CARAMEL,0.019389985097174357,-10.004506603051395
MALTY,0.02539639855567357,-5.394035460777647
RAISINS,-0.04691221752863965,-15.946217778965519
MOLASSES,0.03150326804991619,-2.760741900254311
COCONUT,-0.04455062005237722,-36.070932747044345
"ANISE, LICORICE",-2.0621232513272303,-101.46516484283633
ALCOHOLIC,0.01522167981986513,-18.229121518351995
"ETHERISH, ANAESTHETIC",0.008760033487750785,-53.57799603652914
