,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",0.18499796896016174,-69.1619856235487
LEMON,0.11180005380819749,-78.71463902361789
GRAPEFRUIT,0.013806020308569412,-2.8044736038500853
ORANGE,0.15845420546688552,-21.403019501165716
"FRUITY,OTHER THAN CITRUS",0.33334364439848685,-98.42918624715125
PINEAPPLE,0.31219731188704236,-13.04460085729598
GRAPE JUICE,0.04007745600790922,-14.503718333385876
STRAWBERRY,0.24055702670370774,-14.664019085784734
"APPLE, FRUIT",-0.004273245170084028,-0.18377693918319063
PEAR,0.2276816746580983,-2.471526414426633
"CANTALOUPE, HONEYDEW MELON",0.14712106718533702,-10.76404602488456
PEACH FRUIT,0.2634780753020701,-2.278825611238634
BANANA,0.11873923672525377,-9.369677574684285
FLORAL,0.24222532469715982,-83.34114311562999
ROSE,0.17731387226954412,-45.86786933701368
VIOLETS,0.13860452771760418,-7.148437824984525
LAVENDER,0.17338487539939562,-6.338363011829007
COLOGNE,0.17862102964808527,-15.492920176949585
MUSK,0.005355944053984785,-16.490823200841753
PERFUMERY,0.20301427798970426,-93.50006701907425
FRAGRANT,0.2713820557762545,-196.64906866411488
AROMATIC,0.19182674151904816,-91.32451928019171
HONEY,0.0825439238401603,-2.518926076434547
"CHERRY, BERRY",0.1260521615986196,-25.468530479621773
ALMOND,0.07355284105885618,-69.9707088163706
NAIL POLISH REMOVER,0.0543794426790198,-12.656931059085867
"NUTTY, WALNUT ETC.",0.1662232407897799,-17.679877796845638
SPICY,0.15310817203648303,-76.714948679033
CLOVE,0.05291086012073627,-28.990246374667237
CINNAMON,0.02860480538019412,-43.04304147852669
LAUREL LEAVES,0.037236452450624055,-0.3991480654648333
TEA LEAVES,0.13307724977930832,-0.6975925141000415
SEASONING FOR MEAT,0.06837462775333676,-2.2267729268333487
BLACK PEPPER,0.10298691143097985,-2.2687662938320576
GREEN PEPPER,0.05945277076561748,-4.101068882100272
DILL,0.013932712649059398,-1.567391254988061
CARAWAY,0.0476140071723572,-1.007504935884691
"OAK WOOD,COGNAC",-0.0036565912536864033,-1.866215976207171
"WOODY, RESINOUS",0.14014106139217036,-68.06644326626724
CEDARWOOD,0.22474474213366227,-34.63056810349339
MOTHBALLS,0.07828374049039055,-32.35140826062223
"MINTY, PEPPERMINT",0.04688983296545039,-105.96762744115412
CAMPHOR,0.130036447119012,-55.35729748147986
EUCALYPTUS,0.136778881663456,-29.50946084188489
CHOCOLATE,0.07479311007854936,-11.156155217604141
VANILLA,0.05577484736476879,-25.619388134730798
SWEET,0.22352203634820428,-171.95109065765348
MAPLE SYRUP,0.010625998096968181,-14.349036027905452
CARAMEL,0.008640712802397133,-9.865278475390644
MALTY,0.09492076042980754,-5.258877708028713
RAISINS,-0.0012023915312786792,-15.586776263621601
MOLASSES,0.015972458944066802,-2.774914063499355
COCONUT,0.0017413082174700056,-34.985686117497366
"ANISE, LICORICE",0.03041802001840308,-91.46760084759855
ALCOHOLIC,0.033291661096117475,-16.74660586168264
"ETHERISH, ANAESTHETIC",0.061594411993860086,-50.85982073274379
CLEANING FLUID,0.07807489312242373,-12.407536369104728
"GASOLINE, SOLVENT",0.06048137446722064,-26.85567910581881
"TURPENTINE, PINE OIL",0.1331188219345247,-32.902036247049416
GERANIUM LEAVES,0.12313423044518493,-2.750010397516914
CELERY,0.11607450166409965,-4.5309296913349355
FRESH GREEN VEGETABLES,0.0780929881562765,-5.644431216777283
CRUSHED WEEDS,0.03952311327432227,-6.596131056310841
CRUSHED GRASS,0.024610023446061023,-7.1015425924398645
"HERBAL, GREEN,CUTGRASS",0.16809180210200228,-41.869278724329696
