,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",0.13572018349251877,-74.38347649892576
LEMON,0.05757199133745701,-68.64541267577346
GRAPEFRUIT,0.02255213792152009,-2.965022423165704
ORANGE,0.04114607164686768,-23.80252641896282
"FRUITY,OTHER THAN CITRUS",0.24119212542666113,-103.00256676466896
PINEAPPLE,0.19018294619201645,-16.178187247746383
GRAPE JUICE,8.881784197001253e-17,-12.77146373969339
STRAWBERRY,0.016057034058800056,-11.48912558983651
"APPLE, FRUIT",6.661338147750939e-17,-0.17325634971832288
PEAR,0.2196975378230433,-2.6279836503186553
"CANTALOUPE, HONEYDEW MELON",0.17490096547947537,-12.1029966085049
PEACH FRUIT,0.22596212503250962,-2.244186085330168
BANANA,0.06677413192624046,-9.030621676779324
FLORAL,0.09801719660680049,-93.14882528099676
ROSE,0.050826499226155716,-47.20708628083974
VIOLETS,0.02773486236437255,-7.707425196133608
LAVENDER,0.08576329410959446,-6.958716059319222
COLOGNE,0.04977029803030817,-16.373348601125883
MUSK,0.022881438064388894,-15.937728900931262
PERFUMERY,0.10660572645089675,-109.50851360636497
FRAGRANT,0.15886564726894972,-216.76208622529754
AROMATIC,0.09380162346247797,-101.73160103057424
HONEY,0.11617115180942458,-2.5309583361373953
"CHERRY, BERRY",0.04456024992407679,-23.105643502184243
ALMOND,0.03626004631740121,-71.09856372189691
NAIL POLISH REMOVER,0.08794481764890039,-12.989323673243089
"NUTTY, WALNUT ETC.",0.2216648439014149,-13.09670086253215
SPICY,0.04381215853513161,-80.17906331787682
CLOVE,0.0017548751846805156,-29.63405630588384
CINNAMON,0.0313010226593992,-43.708062385108214
LAUREL LEAVES,0.017086034251984093,-0.38732498823481165
TEA LEAVES,0.03095224015799365,-0.7107095742024381
SEASONING FOR MEAT,0.0037886654903237726,-2.0527947175889816
BLACK PEPPER,2.2204460492503132e-17,-2.3884447053334887
GREEN PEPPER,0.02139879533657314,-4.258923462467868
DILL,0.07991483855447441,-1.4684544471386691
CARAWAY,0.042612558894931804,-0.9934721943703462
"OAK WOOD,COGNAC",8.881784197001253e-17,-1.806005495493205
"WOODY, RESINOUS",2.2204460492503132e-17,-71.79182850134521
CEDARWOOD,0.14592997215661913,-44.456558989411924
MOTHBALLS,0.04467844273940356,-34.153310772075635
"MINTY, PEPPERMINT",4.4408920985006264e-17,-102.83819215124007
CAMPHOR,0.11317940074397637,-54.67974038262785
EUCALYPTUS,0.06375211416728443,-30.60594768100996
CHOCOLATE,0.0003903542502760926,-11.256093685462279
VANILLA,0.06658283961141934,-25.770287806874432
