,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",-0.1460733022422542,-71.47675298052458
LEMON,-0.2780752434670212,-79.87047024334976
GRAPEFRUIT,-0.1992135871074888,-2.9346101725024627
ORANGE,-0.10499425896818546,-20.74422984016933
"FRUITY,OTHER THAN CITRUS",0.04636701067633231,-121.7993617841208
PINEAPPLE,-1.2237360871442067,-17.692847148230392
GRAPE JUICE,-7.205488017241005,-17.792743722407927
STRAWBERRY,-2.135111845674767,-10.666593236597913
"APPLE, FRUIT",-0.0715719809958695,-0.197210589408867
PEAR,0.07243054182746089,-2.922032532914539
"CANTALOUPE, HONEYDEW MELON",-0.05436373068063893,-13.209889753747774
PEACH FRUIT,-0.31034663108040406,-2.5623384275945518
BANANA,-0.18106643139455597,-11.811382776245363
FLORAL,-0.059840889481268734,-107.87225611502463
ROSE,-0.27638880678291117,-50.50198916970443
VIOLETS,-0.19967958375519704,-8.290986957881772
LAVENDER,-0.0454284954820912,-7.855843488177338
COLOGNE,-0.17390272319131359,-17.988034846305418
MUSK,-0.04801159589261213,-17.497345824935273
PERFUMERY,-0.03686927710954655,-121.46430109778323
FRAGRANT,0.054859573543245534,-257.0863428315271
AROMATIC,-0.02904010324338142,-114.55657943990147
HONEY,-0.09384552283603505,-2.7955554357142853
"CHERRY, BERRY",-0.49501773455822173,-29.831899124123982
ALMOND,-0.024070595645028604,-67.80918520270934
NAIL POLISH REMOVER,-0.0049056422778793966,-13.4384410506601
"NUTTY, WALNUT ETC.",-0.006274752474818191,-22.82279268891353
SPICY,-0.17042657667221478,-90.09942808457141
CLOVE,-0.9789346114335767,-31.930876735373978
CINNAMON,-0.526060942296924,-49.63021735707759
LAUREL LEAVES,0.02407765405901654,-0.37774677390116984
TEA LEAVES,0.006407427206129412,-0.7488920965517242
SEASONING FOR MEAT,-0.016306963339305126,-2.2867659453201967
BLACK PEPPER,-0.49435948783390077,-2.5203698280788176
GREEN PEPPER,-1.1273160996437566,-4.819146492315477
DILL,-0.1809421010252,-1.669373509755014
