,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",-3.3200370866511184,-137.57147773025446
LEMON,-1.8992783372062945,-112.77449677987127
GRAPEFRUIT,-0.9302521676750224,-3.9962441763276324
ORANGE,-4.354428788478926,-52.822034039836375
"FRUITY,OTHER THAN CITRUS",-5.793014736582724,-850.6528660516753
PINEAPPLE,-16.863661936788855,-54.096572556248965
GRAPE JUICE,-36.640611894803385,-78.85904790553641
STRAWBERRY,-17.06976476589402,-122.76498656390326
"APPLE, FRUIT",-3.961352779523498,-0.9196347288291207
PEAR,-8.896458239056948,-17.8371336611713
"CANTALOUPE, HONEYDEW MELON",-3.4535420909281185,-23.118277999241673
PEACH FRUIT,-4.734760429288107,-12.170333831595066
BANANA,-89.91624204921847,-54.232209917717704
FLORAL,-2.776912989414668,-388.3494670745082
ROSE,-9.344371074526066,-215.92500526653197
VIOLETS,-4.717474789207989,-31.906292125755904
LAVENDER,-1.6833292407877856,-16.273927851161098
COLOGNE,-2.469349814239343,-67.06676244498173
MUSK,-9.97505339333365,-101.30646350746977
PERFUMERY,-0.7044699058371151,-208.36228269580434
FRAGRANT,-0.3189443582958068,-333.86334756958297
AROMATIC,-0.587384290853415,-169.88385556425524
HONEY,-0.3629567351900776,-3.374626916489946
"CHERRY, BERRY",-7.075635436888301,-199.56717125000685
ALMOND,-1.7166153962680888,-112.5903473455339
NAIL POLISH REMOVER,-0.6376078557717608,-18.976077452771364
"NUTTY, WALNUT ETC.",-3.250888170776912,-56.8549579829078
SPICY,-1.5698307815817916,-122.49041713071776
CLOVE,-11.940526614394253,-67.98189474345958
CINNAMON,-4.839684219586503,-73.24244095925135
LAUREL LEAVES,-5.254893169477177,-2.648871778479222
TEA LEAVES,-2.045238546007199,-1.8475413148791326
SEASONING FOR MEAT,-6.012280880654747,-14.298201112005861
BLACK PEPPER,-4.801871668825425,-4.980796293313265
GREEN PEPPER,-11.86988870028301,-7.586548825604095
DILL,-2.513554137134733,-6.879507787191187
CARAWAY,-13.278716080435794,-4.222788774564982
"OAK WOOD,COGNAC",-1.236743044537318,-4.3486625995907415
"WOODY, RESINOUS",-2.2274248187909995,-236.32784517037945
CEDARWOOD,-0.4993333394292924,-66.3922669532051
MOTHBALLS,-5.479686143888761,-124.89314731186487
"MINTY, PEPPERMINT",-7.780063870591903,-193.9460131465631
CAMPHOR,-1.7650468244399242,-123.74197510840213
EUCALYPTUS,-1.3814917630074595,-48.035974242108935
CHOCOLATE,-105.44509875087108,-36.55059869514481
VANILLA,-5.505988559260482,-45.85859017496135
SWEET,-0.9348302453706931,-392.1132024099648
MAPLE SYRUP,-3.285151652595625,-22.66272566926807
CARAMEL,-1.4667357279383046,-21.328979189253268
MALTY,-9.73560952258217,-20.961732350987926
RAISINS,-14.59706453837813,-25.880457049579984
MOLASSES,-2.449802360208669,-4.6970097603757575
COCONUT,-106.04461226580831,-164.19967751519044
"ANISE, LICORICE",-11.868091742532132,-287.4701456948186
ALCOHOLIC,-0.8587204988038379,-20.08874111540919
"ETHERISH, ANAESTHETIC",-0.5749084578474474,-84.24164423204824
CLEANING FLUID,-2.7202532334062988,-60.0974797739436
"GASOLINE, SOLVENT",-4.130684414914254,-115.15799021021056
"TURPENTINE, PINE OIL",-3.662981513812005,-159.96835415504012
GERANIUM LEAVES,-2.6687973713991004,-9.734413687450104
CELERY,-3.577426528445905,-10.75401363416458
FRESH GREEN VEGETABLES,-1.6726344114716944,-14.65210936771821
CRUSHED WEEDS,-2.256208067014233,-20.197251156523528
CRUSHED GRASS,-2.2845205191344795,-25.298132223191473
"HERBAL, GREEN,CUTGRASS",-2.4802021789690643,-182.19192800094666
RAW CUCUMBER,-1.837103910468859,-4.436219125793505
HAY,-2.6803845342778203,-6.615486902807876
GRAINY (AS GRAIN),-7.673917769765747,-8.665419134055446
YEASTY,-2.5803587845340292,-11.24451090525044
BAKERY (FRESH BREAD),-19.143096748710708,-1.8014843236581002
SOUR MILK,-8.722810096303261,-54.1832279475953
"FERMENTED, ROTTEN FRUIT",-7.716105064068666,-12.01495000163333
BEERY,-1.3069716739716424,-0.66523652954702
SOAPY,-1.6702741716172842,-43.311812835442915
LEATHER,-4.0761150912609825,-14.664479418508762
CARDBOARD,-0.733934058518035,-4.403740302499863
ROPE,-1.033464565786248,-1.2777715945931882
WET PAPER,-2.06042911946585,-4.414190135032479
"WET WOOL,WET DOG",-0.6383394043374541,-5.19795263495446
DIRTY LINEN,-1.785086304391323,-9.953533793086052
STALE,-0.38698333375419103,-11.492328519915157
"MUSTY, EARTHY, MOLDY",-2.380972043040821,-180.61791238044705
RAW POTATO,-3.212871938917959,-6.6413056406796285
MOUSE,-2.7578224971493883,-3.89115903998274
MUSHROOM,-16.059482455611267,-57.748384503765216
PEANUT BUTTER,-43.12780856100265,-74.09621895487312
BEANY,-0.7263613350378104,-0.7619184473999516
"EGGY, FRESH EGGS",-2.3721537647284534,-0.574281637246563
"BARK,BIRCHBARK",-3.067473984178307,-23.250434302095258
CORK,-2.3755287538074192,-3.953529239942429
"BURNT,SMOKY",-0.578435254614634,-94.24260999120924
FRESH TOBACCO SMOKE,-16.66547179154257,-2.278072203378751
INCENSE,-1.3201969955459607,-17.42645629419131
COFFEE,-9.248163055897223,-5.4832138597520075
STALE TOBACCO SMOKE,-1.4535100618901233,-4.030856146136699
BURNT PAPER,-2.3044573243521995,-17.025271330278617
BURNT MILK,-1.760521357359518,-1.1998566863479199
BURNT RUBBER,-1.6254138317287758,-11.00560238922741
TAR,-1.5769537431973113,-32.39077328715596
CREOSOTE,-1.286029483200334,-17.870627429301614
"DISINFECTANT, CARBOLIC",-2.759034204471612,-201.2775980689094
MEDICINAL,-0.7572366360472708,-140.53964772079263
CHEMICAL,-3.2347673088785585,-283.3867447247538
BITTER,-0.8243901931229743,-4.334335774600463
"SHARP, PUNGENT, ACID",-1.1708292878049416,-111.63978121938992
"SOUR, VINEGAR",-5.473278541477886,-230.7866283362208
SAUERKRAUT,-20.940810559459585,-21.275437170242718
AMMONIA,-1.0676721439562786,-7.506951086993384
URINE,-0.9435260378422956,-12.977142441816323
CAT URINE,-15.21256119390279,-66.96975409412332
FISHY,-14.992256792970034,-99.77727114998133
"KIPPERY,SMOKED FISH",-2.4412704679327297,-11.063919040589639
"SEMINAL, SPERM-LIKE",-4.366437580425459,-1.642857986515765
NEW RUBBER,-4.3439868568198605,-9.83729683459973
SOOTY,-1.2139196338094034,-2.6962776160101347
BURNT CANDLE,-79.68011632688908,-152.9304871514086
KEROSENE,-4.139198769012922,-18.03774714080472
"OILY, FATTY",-0.6827439759528174,-60.24499065719382
"BUTTERY, FRESH BUTTER",-34.197672290625206,-38.25040519386927
PAINT,-2.565035580808464,-74.1035726798116
VARNISH,-0.7244804594703442,-16.034061498394237
POPCORN,-168.60715215876667,-77.98360252829077
FRIED CHICKEN,-5.619827379381286,-1.6411542068776508
"MEATY ( COOKED,GOOD)",-3.1071382147425,-18.96330432883337
SOUPY,-3.0875445322764525,-0.957699592546863
COOKED VEGETABLES,-3.1253331136319034,-10.868784745838258
RANCID,-1.528580521602834,-165.09826719123546
SWEATY,-0.9919975350735015,-98.27695761908073
CHEESY,-4.989118375297869,-3.31283764515171
HOUSEHOLD GAS,-2.2803567156059215,-28.292736153061618
SULFIDIC,-1.4686593440501323,-52.569086864868815
"GARLIC, ONION",-1.0644394172823146,-70.73996575616027
METALLIC,-1.9550065468014395,-8.375584020207652
"BLOOD, RAW MEAT",-1.7838320757087058,-16.802200189511858
ANIMAL,-0.8939801876771544,-18.6993671438997
SEWER,-1.5089372552347917,-41.65447811819115
"PUTRID, FOUL, DECAYED",-3.0665308206347173,-342.2778273119765
"FECAL, LIKE MANURE",-1.9005508375966713,-89.94821994515834
CADAVEROUS,-3.9713137744615588,-75.31326764564868
SICKENING,-1.0691018019084122,-421.2829999644753
"DRY, POWDERY",-4.808413412624064,-61.848763958582516
CHALKY,-2.765995633002267,-8.425392485566004
LIGHT,-0.24743396941802623,-85.96582994594253
HEAVY,-0.7924169784913195,-108.48970598658612
"COOL,COOLING",-1.0910320426122502,-130.09641698771082
WARM,-0.7713602417885062,-32.61402167870393
