,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",-0.0015347938290781959,-72.07233071051682
LEMON,-0.015909136891059838,-78.52625072779988
GRAPEFRUIT,0.0018054584767352333,-3.0798797090399193
ORANGE,-0.11983615812832063,-24.396051125146876
"FRUITY,OTHER THAN CITRUS",0.39542369167845975,-83.6943672755973
PINEAPPLE,0.05118243975537442,-14.74280301138241
GRAPE JUICE,-0.047080397968533735,-13.747275528547416
STRAWBERRY,0.09532742824611935,-8.954441794629599
"APPLE, FRUIT",0.013300177124034907,-0.17453579620481996
PEAR,0.29589886990652775,-2.2683176226782997
"CANTALOUPE, HONEYDEW MELON",0.12495663620635097,-11.815474850544181
PEACH FRUIT,0.21338419674737003,-2.023018516872852
BANANA,0.23272369117949127,-9.288261640769088
FLORAL,0.07783214294876702,-93.92376665433852
ROSE,-0.04682326728452128,-49.5163910990117
VIOLETS,0.03884384457280894,-7.707689060619934
LAVENDER,0.10610336414724827,-7.025544716233019
COLOGNE,0.11739516113846833,-15.130892313647166
MUSK,-0.010283001498798416,-16.21637002075369
PERFUMERY,0.1319302302422347,-100.09758759019829
FRAGRANT,0.2019553825694839,-209.25849395622555
AROMATIC,0.11564812737467826,-98.07106468198661
HONEY,0.11029484289871364,-2.3380601135401133
"CHERRY, BERRY",0.11565633945958784,-24.363311356133
ALMOND,0.11468192541833518,-69.01390978024472
NAIL POLISH REMOVER,0.08590414872888623,-12.330270118036044
"NUTTY, WALNUT ETC.",0.29026573438922865,-14.06883307084298
SPICY,0.051096723179240786,-77.56080427665151
CLOVE,-0.02384319988781449,-29.74064738822969
CINNAMON,0.010582703435790552,-41.595129027143436
LAUREL LEAVES,0.01051706594635855,-0.38238513612439456
TEA LEAVES,0.015749399369743112,-0.7232683393212266
SEASONING FOR MEAT,0.022745365623627743,-1.9716035789273403
BLACK PEPPER,0.0027177430203595863,-2.362046129718313
GREEN PEPPER,0.04199543237444712,-4.243571403439276
DILL,0.00134913987033356,-1.5082645728608373
CARAWAY,0.05907747835467594,-0.9855941861718364
"OAK WOOD,COGNAC",4.4408920985006264e-17,-1.7977622612442328
"WOODY, RESINOUS",0.04251683926393344,-69.15118949232566
CEDARWOOD,0.1803475841253997,-38.24133471138295
MOTHBALLS,-0.02640782727883666,-33.404663686321825
"MINTY, PEPPERMINT",-0.4674073592247563,-111.74744794113606
CAMPHOR,0.07232110111680543,-52.83424011242572
EUCALYPTUS,0.0009743155874505583,-30.04724036444411
CHOCOLATE,-0.9353410660674033,-11.713834408961823
VANILLA,-0.33720049543700786,-26.770209791003982
SWEET,0.22789042006630195,-165.60259918431856
MAPLE SYRUP,0.23024185965557917,-10.680362374127462
CARAMEL,0.2364391157818712,-7.951333290147019
MALTY,-0.02562515299753638,-5.364248690351767
RAISINS,-0.03653663123679474,-21.458912786581287
MOLASSES,0.25418317846353056,-2.1057193583985425
COCONUT,-0.11445137268199876,-36.12104409923707
"ANISE, LICORICE",-0.1775681496973191,-87.16281745447476
ALCOHOLIC,0.0821064129936678,-13.831732415751322
"ETHERISH, ANAESTHETIC",0.1210556180106234,-46.431503108197624
CLEANING FLUID,0.11485959859250953,-11.973770775835767
"GASOLINE, SOLVENT",0.0834877417996003,-25.05430190683682
"TURPENTINE, PINE OIL",0.07937119269640294,-33.08389683808296
GERANIUM LEAVES,0.017819768575638585,-2.8083642031590896
CELERY,0.08760487294433776,-4.198257202566791
FRESH GREEN VEGETABLES,0.14229483320178227,-5.493280654677145
CRUSHED WEEDS,0.044209548599505655,-6.478897616243588
CRUSHED GRASS,0.09138200847921281,-6.631890032383298
"HERBAL, GREEN,CUTGRASS",0.15912895184698803,-38.97037112449968
RAW CUCUMBER,0.10048727704215274,-1.643419600054187
HAY,2.2204460492503132e-17,-2.239976733378893
GRAINY (AS GRAIN),0.06906382320221785,-2.71903017547682
YEASTY,0.047801355206830334,-3.075021270720939
BAKERY (FRESH BREAD),0.0,-0.7113035524538176
SOUR MILK,0.06825919749019478,-11.3496177294688
"FERMENTED, ROTTEN FRUIT",0.10585338898009014,-1.9227988168687635
BEERY,0.03198931126948586,-0.29964829426847395
SOAPY,0.03663891019345231,-13.647154323045566
LEATHER,0.05453447972873515,-2.630863083393792
CARDBOARD,0.0035455872469655645,-2.7683843166960047
ROPE,0.014609016668387542,-0.6454902094498458
WET PAPER,0.00024080928602150388,-1.3571425213733936
"WET WOOL,WET DOG",0.054819019888035905,-3.007228071426532
DIRTY LINEN,0.01660887338731192,-4.2250158051216
STALE,0.1864933884360856,-6.550745455934728
"MUSTY, EARTHY, MOLDY",0.023833108143120695,-60.02677589240394
RAW POTATO,1.1102230246251565e-16,-2.7865903232467977
MOUSE,0.019539081186967254,-0.8340990719937
MUSHROOM,-0.23611919953606542,-18.549987181816505
PEANUT BUTTER,0.18447113247378444,-19.629496424735223
BEANY,0.09169719250228008,-0.45097497829230215
"EGGY, FRESH EGGS",0.01713983581531515,-0.17795653932585825
"BARK,BIRCHBARK",0.0009738877769636334,-4.898761045539916
CORK,6.661338147750939e-17,-1.3881098332364528
"BURNT,SMOKY",0.150987366918912,-51.70211498429673
FRESH TOBACCO SMOKE,0.005418311582759361,-0.5516581832464454
INCENSE,0.13218736714646767,-8.286651391968732
COFFEE,0.13436344045100468,-2.3089190826477344
STALE TOBACCO SMOKE,0.05987247947451766,-1.7940731148826239
BURNT PAPER,0.07305816066121965,-5.326997950507728
BURNT MILK,0.03248069114422232,-0.39868018156110885
BURNT RUBBER,0.040554100556965664,-5.574058609118451
TAR,0.12366288545101836,-9.744692629395038
CREOSOTE,0.12381913768597752,-9.67581664941172
"DISINFECTANT, CARBOLIC",0.10760056066911898,-34.971427824309224
MEDICINAL,0.09390478511480645,-75.63607274150266
CHEMICAL,0.12532846360248837,-51.39845196212447
BITTER,0.0412069904491494,-2.615877504478406
"SHARP, PUNGENT, ACID",0.05688374786833252,-60.419545893996556
"SOUR, VINEGAR",0.10108941845681436,-37.43012823723891
SAUERKRAUT,0.03900358872320771,-1.186647426280788
AMMONIA,0.010501958015179813,-4.077925669914693
URINE,0.035795833534734034,-7.796911422721531
CAT URINE,-0.014550445881370933,-32.526241209851605
FISHY,-0.13186593073138878,-47.41828140431174
"KIPPERY,SMOKED FISH",0.03932540640627933,-5.205975553324444
"SEMINAL, SPERM-LIKE",0.0022824491588566255,-0.9116709580173493
NEW RUBBER,0.09672142069664662,-2.9541157006830985
SOOTY,0.006494408937842411,-1.2430996906433678
BURNT CANDLE,-2.2388083943034025,-61.16698911220029
KEROSENE,0.06607371179877353,-4.475496318113302
"OILY, FATTY",0.10306202948132206,-36.85615939045628
"BUTTERY, FRESH BUTTER",-0.0009547833352888003,-6.292687244420449
PAINT,0.19747954236155962,-22.95925334184284
