,explained_variance,neg_mean_squared_error
"FRUITY,CITRUS",0.025051611689419894,-78.60564579383575
LEMON,0.01368580190107822,-85.0266815749566
GRAPEFRUIT,0.023301880094863912,-3.103995490107174
ORANGE,0.020768803238358856,-23.433341068067797
"FRUITY,OTHER THAN CITRUS",-0.01345868100011396,-159.36905413452033
PINEAPPLE,0.006696947626169658,-17.08280037983835
GRAPE JUICE,-0.001143958363455755,-16.119798683751043
STRAWBERRY,-0.001337833135408073,-20.581177749273287
"APPLE, FRUIT",0.03431646426309183,-0.1747112468986263
PEAR,0.04382887004234977,-3.055425360558865
"CANTALOUPE, HONEYDEW MELON",0.023617588668811296,-12.232608193459651
PEACH FRUIT,0.0023749241007748,-2.880291211840354
BANANA,0.003923298141692478,-10.816613102960082
FLORAL,0.05936528532811643,-108.45445157132596
ROSE,0.03931215080791854,-48.1876076247101
VIOLETS,0.04786505110535333,-7.501230505124347
LAVENDER,0.057825505624693505,-7.47899320690438
COLOGNE,0.028378844486274635,-18.38288162514386
MUSK,0.0262538926918519,-16.46421293050455
PERFUMERY,0.07713640338681745,-127.05110786646132
FRAGRANT,0.051724031558898265,-267.9740893793909
AROMATIC,0.02649715476188299,-115.22183789379395
HONEY,-0.004441959371325921,-2.739674784663426
"CHERRY, BERRY",-0.012339546058489682,-30.83362456540138
ALMOND,0.05302551396800452,-72.9424764379357
NAIL POLISH REMOVER,0.030708351651675226,-13.530602859677646
"NUTTY, WALNUT ETC.",0.021404995218445723,-23.44480786087911
SPICY,0.0037442347421637657,-86.10359429315638
CLOVE,-0.000784646483682927,-29.36406471243103
CINNAMON,0.0016328572170143606,-45.14060462395868
LAUREL LEAVES,0.04014073373640346,-0.43746348243570915
TEA LEAVES,0.008237524203081614,-0.7531868202863544
SEASONING FOR MEAT,0.07611826550532641,-1.9958569669911548
BLACK PEPPER,-0.015210552738454463,-2.370102275268086
GREEN PEPPER,0.006896888105167953,-4.152248750173504
DILL,-0.0020337671873623896,-1.5625881890326354
CARAWAY,0.004824175515826856,-1.0708042948261103
"OAK WOOD,COGNAC",-0.012132194806472606,-1.8358450144296434
"WOODY, RESINOUS",-0.0277591053465591,-75.91253714633902
CEDARWOOD,0.083647866095736,-49.49374403716074
MOTHBALLS,0.03773376613586399,-33.28219663702604
"MINTY, PEPPERMINT",-0.008560766133129194,-109.34004114994825
CAMPHOR,0.03496007847780989,-61.46278392456677
EUCALYPTUS,0.024786407692627233,-31.829898420759122
CHOCOLATE,-0.03460149987536791,-11.117795052968566
VANILLA,0.0023312490575882806,-26.099372690462626
SWEET,-0.015555885560961834,-236.7313806833281
MAPLE SYRUP,0.0177982228116381,-14.397512036686326
CARAMEL,0.07627631530075019,-9.583586297261364
MALTY,0.08208771033985238,-5.234969383425945
RAISINS,0.0002858425635680284,-17.846927041167213
MOLASSES,0.056709852228476264,-2.785116909166271
COCONUT,0.0015369461475935654,-35.04775239654778
"ANISE, LICORICE",-0.001272745272088338,-92.98025595554441
ALCOHOLIC,0.0057659217079143454,-18.18747515865171
"ETHERISH, ANAESTHETIC",0.045676521582870167,-55.30571168627083
CLEANING FLUID,0.03694151288537286,-14.114954296830948
"GASOLINE, SOLVENT",0.07761325170294613,-27.052583929359912
"TURPENTINE, PINE OIL",0.07532842609245775,-35.18302874009551
GERANIUM LEAVES,-0.003151315901636709,-2.930542987969887
CELERY,0.023787822377934843,-4.562339669191994
FRESH GREEN VEGETABLES,0.05792434557302715,-5.698509888729902
CRUSHED WEEDS,-0.000199248223895232,-6.741679993070624
CRUSHED GRASS,-0.001324893751482392,-7.384041925293971
"HERBAL, GREEN,CUTGRASS",-0.019386772179017252,-49.000269642219806
RAW CUCUMBER,0.02945102843439389,-1.7413411496973894
HAY,0.011297895005329716,-2.203021027962845
GRAINY (AS GRAIN),0.01208303028529496,-2.878624939302566
YEASTY,0.02917382885539075,-3.4028093260535295
BAKERY (FRESH BREAD),0.005532687882307696,-0.7323173367114185
SOUR MILK,0.0071954960541013024,-12.556524716006965
"FERMENTED, ROTTEN FRUIT",0.03137825935177037,-2.1051370369726063
BEERY,0.001582980021144742,-0.3602037526268099
SOAPY,0.03024075701526523,-14.248601342556409
LEATHER,0.02934235327504302,-2.651137372466021
CARDBOARD,-0.006371519319434938,-2.7950171794970466
ROPE,0.037631436663106685,-0.6486949307030166
WET PAPER,-0.018643733826002217,-1.3756359633078596
"WET WOOL,WET DOG",0.12200531016652075,-2.9642331051188875
DIRTY LINEN,0.03454792572976937,-4.9108520423299575
STALE,0.09094863759483493,-7.576701223614864
"MUSTY, EARTHY, MOLDY",-0.012604271749659746,-61.865400296331316
RAW POTATO,-8.808463967378e-05,-2.7605802079422452
MOUSE,0.08890212604711807,-0.9123184512843034
MUSHROOM,-0.000354066346454629,-17.825699947779803
PEANUT BUTTER,0.021441061197822676,-34.88058332656778
BEANY,0.009747969860966621,-0.5387886556082027
"EGGY, FRESH EGGS",0.037668562174757184,-0.18781453381181165
"BARK,BIRCHBARK",-0.00498890671693839,-5.092023131674
CORK,-0.005928118909626389,-1.3996103852157218
"BURNT,SMOKY",0.022319690777429946,-66.82606888610769
