,criterion,max_features,n_jobs,ccp_alpha,random_state
PLEASANTNESS,0.15,absolute_error,sqrt,-1,432
EDIBLE ,0.15,absolute_error,log2,-1,432
BAKERY ,0.3,squared_error,log2,-1,432
SWEET ,0.15,absolute_error,sqrt,-1,432
FRUIT ,0.15,absolute_error,sqrt,-1,432
FISH,0.15,friedman_mse,sqrt,-1,432
GARLIC ,0.15,friedman_mse,sqrt,-1,432
SPICES ,0.3,squared_error,sqrt,-1,432
COLD,0.3,squared_error,sqrt,-1,432
SOUR ,0.3,squared_error,sqrt,-1,432
BURNT ,0.3,friedman_mse,sqrt,-1,432
ACID ,0.15,absolute_error,sqrt,-1,432
WARM ,0.3,squared_error,sqrt,-1,432
MUSKY ,0.3,squared_error,sqrt,-1,432
SWEATY ,0.3,friedman_mse,sqrt,-1,432
AMMONIA_URINOUS,0.3,squared_error,sqrt,-1,432
DECAYED,0.3,friedman_mse,sqrt,-1,432
WOOD ,0.15,friedman_mse,sqrt,-1,432
GRASS ,0,absolute_error,sqrt,-1,432
FLOWER ,0.3,squared_error,sqrt,-1,432
CHEMICAL,0.15,absolute_error,sqrt,-1,432
