,explained_variance,neg_mean_squared_error
PLEASANTNESS,0.3641039710371932,-129.22225080389572
EDIBLE ,0.1915235491182061,-50.26743735961897
BAKERY ,0.14516995174353803,-23.132740746346723
SWEET ,0.3620696891162961,-106.0760152345229
FRUIT ,0.37900555164458194,-41.05754520387167
FISH,0.3036232523894239,-6.2954028913095215
GARLIC ,0.3822994729361648,-14.691221852684702
SPICES ,0.14473142104145395,-23.408820508134266
COLD,0.10009078776193217,-10.558110043489203
SOUR ,0.06041648493738692,-29.589894336561382
BURNT ,0.20234200076064238,-26.19395819575115
ACID ,0.056221785767822954,-28.558737018613197
WARM ,0.056475557416375645,-12.086456522312611
MUSKY ,0.12937254276998147,-25.769401943436158
SWEATY ,0.1607384186068662,-15.948271103756891
AMMONIA_URINOUS,0.08808029667387929,-19.666223194494545
DECAYED,0.23153177537713435,-25.141028625341303
WOOD ,0.14792832996208027,-8.110710743603422
GRASS ,0.16824222480367962,-10.81144265143059
FLOWER ,0.29642157288112136,-23.911091848989727
CHEMICAL,0.18189670691882254,-88.27462455356024
