,explained_variance,neg_mean_squared_error
PLEASANTNESS,-172460378.68450907,-35296457063.57573
EDIBLE ,-160688186.39585793,-10635777725.631926
BAKERY ,-82362506.02990344,-1593917643.9024558
SWEET ,-200291622.94684651,-34156055555.053436
FRUIT ,-340327583.44703686,-26908607412.52964
FISH,-119095958.54244085,-1030241810.6228869
GARLIC ,-26466409.955473404,-613192401.0966417
SPICES ,-62246924.99740169,-1504647893.7796025
COLD,-153970703.49331695,-2157151629.736973
SOUR ,-108764414.74121885,-3134243464.0183663
BURNT ,-69163659.26101929,-2702116652.518299
ACID ,-155425615.07361907,-4627889488.320585
WARM ,-77308377.7420892,-895704288.953726
MUSKY ,-136213222.45928606,-3872718523.4094453
SWEATY ,-217354079.37536335,-4042519867.6737585
AMMONIA_URINOUS,-140846702.68121645,-3075384294.888779
DECAYED,-68262601.0350342,-2633802587.1698337
WOOD ,-128049635.84619352,-1107194646.127248
GRASS ,-153988790.8546781,-1636245866.4955266
FLOWER ,-176480199.04646075,-6139556694.712554
CHEMICAL,-76378836.6089714,-8454483633.712674
