,explained_variance,neg_mean_squared_error
PLEASANTNESS,0.3376202509197469,-135.15075509064042
EDIBLE ,0.18933726258973305,-52.717134240375
BAKERY ,0.1589680747840032,-23.853689749749197
SWEET ,0.31453642295600936,-117.66912305845878
FRUIT ,0.3957948629065883,-40.39407556681491
FISH,0.3733709018195868,-5.794352568530064
GARLIC ,0.4032104981606125,-13.902474835478667
SPICES ,0.21449849779273622,-22.094706180483143
COLD,0.14675407937288615,-10.171053765499503
SOUR ,0.13229172923467558,-27.840691500548918
BURNT ,0.25054445302458184,-24.821337272526456
ACID ,0.07793896091478225,-28.64090054905456
WARM ,0.1176642003504873,-11.398898345455219
MUSKY ,0.19602785425772223,-24.317659743245397
SWEATY ,0.19717288573966313,-16.180793905377982
AMMONIA_URINOUS,0.11989922965931385,-19.218083034126327
DECAYED,0.255440166190061,-25.1652014299871
WOOD ,0.17323656354732134,-7.7969559267727035
GRASS ,0.13150775733710796,-11.225511227208747
FLOWER ,0.2985633996813613,-24.714074739596107
CHEMICAL,0.19360234092373843,-88.67526690867138
