,explained_variance,neg_mean_squared_error
PLEASANTNESS,0.03779034327348931,-138.6247231597031
EDIBLE ,-0.33267849931939486,-21.560331638474235
BAKERY ,-0.0028032988785472446,-6.461752573708421
SWEET ,-0.06267173637381115,-43.28899588701755
FRUIT ,0.01083954593379377,-13.0140920954593
FISH,-0.1508592745720115,-1.7314727299109223
GARLIC ,0.32789165340313603,-3.0139944706858177
SPICES ,-0.14023639161704468,-6.453767845549915
COLD,-0.9996736584990193,-4.4170757737545525
SOUR ,-0.6239518785657453,-12.645869021799253
BURNT ,-0.08234592807536105,-7.135283594271118
ACID ,-6.3952279623567465,-35.383710849386716
WARM ,-0.30532201357821115,-4.078403264295554
MUSKY ,-0.7385830080403307,-13.144698450270928
SWEATY ,-0.016457624255409198,-4.085835412955954
AMMONIA_URINOUS,-2.424225860245261,-13.262371782931064
DECAYED,-0.21386559439111572,-8.03374537039097
WOOD ,-0.1041097031137147,-1.9251856752521974
GRASS ,-0.2095085949436557,-3.0322085828844183
FLOWER ,0.1210432715951606,-6.2540872774275265
CHEMICAL,-8.385436201373086,-193.0933594761339
