,explained_variance,neg_mean_squared_error
PLEASANTNESS,0.008363934559290232,-149.59834003517673
EDIBLE ,0.01690372261176607,-15.798423028786576
BAKERY ,0.03588150471811515,-6.295980071165263
SWEET ,0.03081326983545234,-42.5968349309655
FRUIT ,0.04978763656905858,-13.31000700474263
FISH,0.07660630452973458,-1.444841069207817
GARLIC ,0.17813695157378734,-4.043254416006954
SPICES ,0.05170864733432299,-6.088458014379012
COLD,0.019613424379304578,-2.0884126539257015
SOUR ,0.0023010794143405234,-7.882360758707374
BURNT ,0.04173248700398848,-7.188686315666379
ACID ,0.001676136765201819,-4.897081949646909
WARM ,0.04445536684627729,-3.0305279196093635
MUSKY ,0.017339141885261023,-7.0189142450285145
SWEATY ,0.027349910697006187,-3.9582179263373307
AMMONIA_URINOUS,0.02407435843289858,-3.488799480750449
DECAYED,0.036013001944282565,-6.537038044979495
WOOD ,0.024331708637737814,-1.7822985190876313
GRASS ,0.02157704846681794,-2.456597511595496
FLOWER ,0.017463907744207297,-7.2340176060510375
CHEMICAL,0.024416602294888047,-23.433139597685557
